word_table_index,word_section,word_object,word_row,word_col,module,excel_sheet,excel_section,excel_object,excel_row,excel_col,value,reason
2,工作环境检测,工作环境检测,4,2,M1,1,工作环境检测,工作环境检测,12,5,15-30℃,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,4,3,M1,1,工作环境检测,工作环境检测,12,11,/,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,4,4,M1,1,工作环境检测,工作环境检测,12,14,/,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,5,2,M1,1,工作环境检测,工作环境检测,13,5,35%-85%,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,5,3,M1,1,工作环境检测,工作环境检测,13,11,/,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,5,4,M1,1,工作环境检测,工作环境检测,13,14,/,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,6,2,M1,1,工作环境检测,工作环境检测,14,5,220-240V,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,6,3,M1,1,工作环境检测,工作环境检测,14,11,/,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,6,4,M1,1,工作环境检测,工作环境检测,14,14,/,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,7,2,M1,1,工作环境检测,工作环境检测,15,5,<5V,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,7,3,M1,1,工作环境检测,工作环境检测,15,11,/,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,7,4,M1,1,工作环境检测,工作环境检测,15,14,/,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,8,2,M1,1,工作环境检测,工作环境检测,16,5,无弯折，废液排放口高度（相对于仪器对应的废液出口）不大于100mm,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,8,3,M1,1,工作环境检测,工作环境检测,16,11,/,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,8,4,M1,1,工作环境检测,工作环境检测,16,14,/,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,9,2,M1,1,工作环境检测,工作环境检测,17,5,≥1,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,9,3,M1,1,工作环境检测,工作环境检测,17,11,/,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,9,4,M1,1,工作环境检测,工作环境检测,17,14,/,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,10,2,M1,1,工作环境检测,工作环境检测,18,5,≤2000ppm,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,10,3,M1,1,工作环境检测,工作环境检测,18,11,/,章节+名称+表头匹配后按行键复制
2,工作环境检测,工作环境检测,10,4,M1,1,工作环境检测,工作环境检测,18,14,/,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,3,2,M1,1,仪器基本状态检查,仪器基本状态检查,38,5,状态要求,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,3,3,M1,1,仪器基本状态检查,仪器基本状态检查,38,11,实际状态,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,3,4,M1,1,仪器基本状态检查,仪器基本状态检查,38,14,结论,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,4,2,M1,1,仪器基本状态检查,仪器基本状态检查,39,5,正常,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,4,3,M1,1,仪器基本状态检查,仪器基本状态检查,39,11,/,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,4,4,M1,1,仪器基本状态检查,仪器基本状态检查,39,14,/,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,5,2,M1,1,仪器基本状态检查,仪器基本状态检查,41,5,正常,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,5,3,M1,1,仪器基本状态检查,仪器基本状态检查,41,11,/,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,5,4,M1,1,仪器基本状态检查,仪器基本状态检查,41,14,/,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,6,2,M1,1,仪器基本状态检查,仪器基本状态检查,42,5,正常,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,6,3,M1,1,仪器基本状态检查,仪器基本状态检查,42,11,/,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,6,4,M1,1,仪器基本状态检查,仪器基本状态检查,42,14,/,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,7,2,M1,1,仪器基本状态检查,仪器基本状态检查,43,5,正常,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,7,3,M1,1,仪器基本状态检查,仪器基本状态检查,43,11,/,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,7,4,M1,1,仪器基本状态检查,仪器基本状态检查,43,14,/,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,8,2,M1,1,仪器基本状态检查,仪器基本状态检查,44,5,37±0.3,章节+名称+表头匹配后按行键复制
4,仪器基本状态检查,仪器基本状态检查,8,3,M1,1,仪器基本状态检查,仪器基本状态检查,44,11,/,章节+名称+表头匹配后按行键复制
